,open,high,low,close,results
2004-03-09,1.244,1.2455,1.2273,1.2315,2
2004-03-10,1.2316,1.2338,1.2181,1.2191,1
2004-03-11,1.219,1.2386,1.2162,1.2283,2
2004-03-12,1.2284,1.2305,1.2172,1.2185,1
2004-03-14,1.2185,1.2236,1.2181,1.2225,1
2004-03-15,1.2226,1.2316,1.2211,1.2261,1
2004-03-16,1.2262,1.237,1.2228,1.2272,1
2004-03-17,1.2272,1.2279,1.2176,1.2271,1
2004-03-18,1.2272,1.2436,1.224,1.2396,2
2004-03-19,1.2396,1.2406,1.2255,1.2276,1
2004-03-21,1.2276,1.228,1.2221,1.2245,1
2004-03-22,1.2244,1.2397,1.2244,1.2349,2
2004-03-23,1.2349,1.2369,1.2265,1.2318,2
2004-03-24,1.2318,1.2335,1.2104,1.2125,1
2004-03-25,1.2125,1.2198,1.2096,1.2143,1
2004-03-26,1.2143,1.2209999999999999,1.2069,1.2129,1
2004-03-28,1.2121,1.2146,1.2075,1.2101,1
2004-03-29,1.21,1.2211,1.2051,1.2184,1
2004-03-30,1.2184,1.2252,1.2162,1.2226,1
2004-03-31,1.2227,1.2326,1.2212,1.2281,1
2004-04-01,1.228,1.2391,1.2256,1.2364,2
2004-04-02,1.2365,1.2365,1.2104,1.2142,2
2004-04-04,1.2107,1.2118,1.209,1.2109,2
2004-04-05,1.2109999999999999,1.2131,1.1988,1.1991,1
2004-04-06,1.199,1.2146,1.1985,1.209,1
2004-04-07,1.2091,1.2198,1.2052,1.2197,2
2004-04-08,1.2196,1.2221,1.2065,1.2071,2
2004-04-09,1.207,1.2109999999999999,1.2067,1.2099,2
2004-04-11,1.2093,1.2095,1.2063,1.2073,2
2004-04-12,1.2074,1.21,1.2057,1.2066,2
2004-04-13,1.2066,1.2079,1.1908,1.1928,1
2004-04-14,1.1928,1.1975,1.1871,1.1931,1
2004-04-15,1.1931,1.2006,1.1897,1.1986,2
2004-04-16,1.1986,1.2049,1.1926,1.1998,2
2004-04-18,1.2023,1.2039,1.2003,1.2036,2
2004-04-19,1.2035,1.2082,1.1962,1.1965,2
2004-04-20,1.1965,1.1977,1.1823,1.1834,1
2004-04-21,1.1833,1.1919,1.1783,1.1852,1
2004-04-22,1.1852,1.1945,1.1799,1.19,2
2004-04-23,1.1899,1.1932,1.18,1.1844,1
2004-04-25,1.1828,1.1828,1.1763,1.1777,1
2004-04-26,1.1778,1.1887,1.1776,1.1846,1
2004-04-27,1.1845,1.1949,1.1836,1.1931,2
2004-04-28,1.1931,1.1956,1.1815,1.1834,1
2004-04-29,1.1834,1.1985,1.1807,1.1973,1
2004-04-30,1.1972,1.2016,1.1923,1.1982,1
2004-05-02,1.199,1.1997,1.1965,1.1972,1
2004-05-03,1.1971,1.1987,1.1922,1.1953,1
2004-05-04,1.1952,1.2141,1.1943,1.2133,2
2004-05-05,1.2121,1.2182,1.2108,1.2148,2
2004-05-06,1.2148,1.2177,1.2033,1.2056,2
2004-05-07,1.2057,1.2139,1.1879,1.1894,2
2004-05-09,1.1881,1.1897,1.1835,1.1841,1
2004-05-10,1.1842,1.1879,1.1815,1.1869,1
2004-05-11,1.1868,1.1892,1.1792,1.1856,1
2004-05-12,1.1855,1.1943,1.1849,1.1918,2
2004-05-13,1.1917,1.1924,1.1776,1.1818,1
2004-05-14,1.1818,1.1904,1.1784,1.1887,1
2004-05-16,1.1893,1.1977,1.188,1.1966,1
2004-05-17,1.1966,1.2062,1.1956,1.2003,2
2004-05-18,1.2004,1.2028,1.1932,1.1966,1
2004-05-19,1.1965,1.2045,1.1963,1.1989,1
2004-05-20,1.1989,1.1991,1.1896,1.1975,1
2004-05-21,1.1975,1.2072,1.1974,1.1996,1
2004-05-23,1.1991,1.2005,1.1941,1.1957,1
2004-05-24,1.1958,1.2025,1.1935,1.2019,1
2004-05-25,1.202,1.213,1.2015,1.2095,1
2004-05-26,1.2095,1.2155,1.2079,1.2146,1
2004-05-27,1.2145,1.229,1.2132,1.2271,2
2004-05-28,1.2271,1.2298,1.2203,1.2221,1
2004-05-30,1.225,1.2253,1.2186,1.2209999999999999,1
2004-05-31,1.2209,1.2234,1.2158,1.2197,1
2004-06-01,1.2197,1.2275,1.2185,1.2267,2
2004-06-02,1.2268,1.2309,1.218,1.2184,1
2004-06-03,1.2183,1.2254,1.2172,1.2216,1
2004-06-04,1.2216,1.2303,1.2142,1.2302,2
2004-06-06,1.2329,1.2339,1.2319,1.2336,2
2004-06-07,1.2336,1.234,1.2286,1.2309,2
2004-06-08,1.2309,1.2355,1.2225,1.2227,2
2004-06-09,1.2228,1.2252,1.2026,1.2056,1
2004-06-10,1.2057,1.212,1.2031,1.2052,1
2004-06-11,1.2051,1.2053,1.197,1.2017,1
2004-06-13,1.2009,1.2009999999999998,1.1957,1.1972,1
2004-06-14,1.1972,1.2105,1.1959,1.2083,0
2004-06-15,1.2083,1.2171,1.2032,1.2145,2
2004-06-16,1.2145,1.2171,1.1983,1.2009999999999998,1
2004-06-17,1.2011,1.208,1.1994,1.2004,1
2004-06-18,1.2004,1.2149,1.1977,1.2146,0
2004-06-20,1.2141,1.2149,1.2112,1.2128,0
2004-06-21,1.2128,1.2139,1.2078,1.2123,1
2004-06-22,1.2122,1.2146,1.2068,1.2139,0
2004-06-23,1.2138,1.2195,1.2044,1.2072,1
2004-06-24,1.2071,1.2191,1.2049,1.2157,1
2004-06-25,1.2156,1.2176,1.2107,1.2173,1
2004-06-27,1.2179,1.2184,1.2153,1.2167,1
2004-06-28,1.2168,1.2231,1.2125,1.2181,2
2004-06-29,1.2182,1.219,1.2075,1.2091,1
2004-06-30,1.2092,1.2212,1.207,1.2164,1
2004-07-01,1.2163,1.2191,1.2137,1.218,1
2004-07-02,1.2179,1.2329,1.2146,1.2323,0
2004-07-04,1.2329,1.2333,1.2316,1.2319,1
2004-07-05,1.2318,1.2329999999999999,1.2273,1.2303,1
2004-07-06,1.2304,1.2331,1.2265,1.2317,1
2004-07-07,1.2316,1.2391,1.2311,1.2359,0
2004-07-08,1.2358,1.2424,1.2343,1.2407,2
2004-07-09,1.2408,1.2425,1.2373,1.2415,2
2004-07-11,1.2418,1.2421,1.2386,1.2398,0
2004-07-12,1.2397,1.2438,1.2359,1.2375,0
2004-07-13,1.2376,1.2388,1.2302,1.2342,1
2004-07-14,1.2343,1.2423,1.2324,1.2379,2
2004-07-15,1.238,1.2395,1.2328,1.2373,2
2004-07-16,1.2374,1.2462,1.2345,1.2455,2
2004-07-18,1.2444,1.2463,1.2442,1.2456,2
2004-07-19,1.2455,1.2464,1.2402,1.2432,2
2004-07-20,1.2433,1.2456,1.2305,1.2316,2
2004-07-21,1.2317,1.2352,1.2213,1.227,2
